idcanton	nombrecanton
1001	Ibarra
1002	Antonio Ante
1003	Cotacachi
1004	Otavalo
1005	Pimampiro
1006	San Miguel de Urcuqui
101	Cuenca
102	Giron
103	Gualaceo
104	Nabon
105	Paute
106	Pucara
107	San Fernando
108	Santa Isabel
109	Sigsig
110	Oña
1101	Loja
1102	Calvas
1103	Catamayo
1104	Celica
1105	Chaguarpamba
1106	Espindola
1107	Gonzanama
1108	Macara
1109	Paltas
111	Chordelec
1110	Puyango
1111	Saraguro
1112	Sozoranga
1113	Zapotillo
1114	Pindal
1115	Quilanga
1116	Olmedo
112	El Pan
113	Sevilla de Oro
114	Guachapala
115	Camilo Poce Enriquez
1201	Babahoyo
1202	Baba 
1203	Montalvo
1204	Puebloviejo
1205	Quevedo
1206	Urdaneta
1207	Ventanas
1208	Vinces
1209	Palenque
1210	Buena Fe
1211	Valencia
1212	Mocache
1213	Quisaloma
1301	Portoviejo
1302	Bolivar
1303	Chone
1304	El Carmen
1305	Elavio Alfaro
1306	Jipijapa
1307	Junin
1308	Manta
1309	Montecristi
1310	Pajan
1311	Pichincha
1312	Rocafuerte
1313	Santa Ana
1314	Sucre
1315	Tosagua
1316	24 de Mayo
1317	Pedernales
1318	Olmedo
1319	Puerto Lopez
1320	Jama
1321	Jaramijo
1322	San Vicente
1401	Morona
1402	Gualaquiza
1403	Limon Indanza
1404	Palora
1405	Santiago
1406	Sucua
1407	Huamboya
1408	San Juan Bosco
1409	Taisha
1410	Logroño
1411	Pablo Sexto
1412	Tiwintza
1501	Tena
1502	Aguarico
1503	Archidona
1504	El Chaco
1505	La Joya de los Sachas
1506	Orellana
1507	Quijos
1508	Loreto
1509	Carlos Julio Arosemena Tola
1601	Pastaza
1602	Mera
1603	Santa Clara
1604	Arajuno
1701	Quito
1702	Cayambe
1703	Mejia
1704	Pedro Moncayo
1705	Rumiñahui
1706	Santo Domingo
1707	San Miguel de los Bancos
1708	Pedro Vicente Maldonado
1709	Puerto Quito
1801	Ambato
1802	Baños de Agua Santa
1803	Cevallos
1804	Mocha
1805	Patate
1806	Quero
1807	San Pedro de Pelileo
1808	Santiago de Pillaro
1809	Tisaleo
1901	Zamora
1902	Chinchipe
1903	Nangaritza
1904	Yacuambi
1905	Yantzaza
1906	El Pagui
1907	Centinela del Condor
1908	Palanda
1909	Paquisha
2001	San Cristobal
2002	Isabela
2003	Santa Cruz
201	Guaranda
202	Chillanes
203	Chimbo
204	Echeandia
205	San Miguel
206	Caluma
207	Las Naves
2101	Lago Agrio
2102	Gonzalo Pizarro
2103	Putumayo
2104	Shushufindi
2105	Sucumbios
2106	Cascales
2107	Cuyabeno
2201	Orellana
2202	Aguarico
2203	La Joya de los Sachas
2204	Loreto
2301	Santo Domingo
2302	La Concordia
2401	Santa Elena
2402	La Libertad
2403	Salinas
301	Azoguez
302	Biblian
303	Cañar
304	La Troncal
305	El Tambo
306	Deleg
307	Suscal
401	Tulcan
402	Bolivar
403	Espejo
404	Mira
405	Montufar
406	San Padro de Huaca
501	Latacunga
502	La Mana
503	Pangua
504	Pujili
505	Salcedo
506	Saquisili
507	Sigchos
601	Riobamba
602	Alausi
603	Colta
604	Chambo
605	Chunchi
606	Guamote
607	Guano
608	Pallatanga
609	Penipe
610	Cumanda
701	Machala
702	Arenillas
703	Atahualpa
704	Balsas
705	Chilla
706	Guabo
707	Huaquillas
708	Marcabeli
709	Pasaje
710	Piñas
711	Portovelo
712	Santa Rosa
713	zaruma
714	Las Lajas
801	Esmeraldas
802	Eloy Alfaro
803	Muisne
804	Quininde
805	San Lorenzo
806	Atacames
807	Rioverde
901	Guayaquil
902	Alfredo Baquerizo Moreno
903	Balao
904	Balzar
905	Colimes
906	Daule
907	Duran
908	Empalme
909	El Triunfo
910	Milagro
911	Naranjal
912	Naranjito
913	Palestina
914	Pedro Carbo
915	Salinas
916	Samborondon
917	Santa Elena
918	Santa Lucia
919	Salitre
920	San Jacinto de Yaguachi
921	Playas
922	Simon Bolivar
923	Coronel Marcelino Maridueña
924	Lomas de Sargentillo
925	Nobol
926	La Libertad
927	General Antonio Elizalde
928	Isidro Ayora
